City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
81,Galveston,US,63.0,haze,29.3669,-94.9669,Comfort Inn & Suites Texas City
83,Saldanha,ZA,68.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
86,Rio Gallegos,AR,68.0,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
92,Esperance,AU,62.6,broken clouds,-33.8667,121.9,Hospitality Esperance
95,Fuling,CN,52.86,overcast clouds,29.7022,107.3919,Yingbin Hostel
105,Muroto,JP,56.19,light rain,33.2833,134.15,Oota Ryokan
107,Aswan,EG,60.78,clear sky,24.0934,32.907,Nuba Nile
113,San Jeronimo,PE,60.06,light rain,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
118,Oruro,BO,58.05,light rain,-17.9833,-67.15,Eden by BlueBay
121,Abha,SA,57.2,few clouds,18.2164,42.5053,Abha Hotel
123,Mataura,NZ,53.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
124,Lahij,YE,69.3,broken clouds,13.1667,44.5833,
125,Balaipungut,ID,73.27,broken clouds,1.05,101.2833,
127,Plettenberg Bay,ZA,68.59,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
130,Ahipara,NZ,66.47,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
131,Comodoro Rivadavia,AR,68.0,clear sky,-45.8667,-67.5,Austral Hotel
132,Betare Oya,CM,73.0,broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
133,Urcos,PE,66.2,moderate rain,-13.6861,-71.6228,Qali Samanawasi
134,Lebu,CL,65.3,clear sky,-37.6167,-73.65,Hostal Las Lilas
135,Antofagasta,CL,73.99,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
137,San Patricio,US,69.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Lagoa,PT,62.29,overcast clouds,39.05,-27.9833,Casa Das Faias
141,Peniche,PT,59.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
143,Kaitangata,NZ,60.01,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
146,Jaisalmer,IN,51.24,clear sky,26.9147,70.9181,Hotel Fifu
150,Ulladulla,AU,69.8,clear sky,-35.35,150.4667,Sandpiper Motel
156,Calvinia,ZA,68.38,clear sky,-31.4707,19.776,Die Lemoenhuis
162,Saint George,US,50.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
163,Fortuna,US,51.01,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
