City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Mao,ES,2021-01-20 21:08:28,39.8885,4.2658,55.4,82,75,12.66
120,Erenhot,CN,2021-01-20 21:08:28,43.6475,111.9767,11.12,87,99,6.49
121,Tiksi,RU,2021-01-20 21:08:29,71.6872,128.8694,-26.37,86,100,4.63
122,Cabo San Lucas,MX,2021-01-20 21:05:26,22.8909,-109.9124,73.0,78,90,3.44
123,Poplar Bluff,US,2021-01-20 21:08:29,36.757,-90.3929,45.0,45,1,9.22
124,Hualmay,PE,2021-01-20 21:08:29,-11.0964,-77.6139,75.2,70,25,10.76
125,Victoria,HK,2021-01-20 21:08:10,22.2855,114.1577,66.0,77,100,10.85
126,Rognan,NO,2021-01-20 21:08:29,67.0953,15.3878,26.6,50,75,31.07
127,Provideniya,RU,2021-01-20 21:08:29,64.3833,-173.3,-0.4,71,40,31.32
128,Tuatapere,NZ,2021-01-20 21:08:30,-46.1333,167.6833,52.0,90,95,14.0
129,Uromi,NG,2021-01-20 21:08:09,6.7,6.3333,76.5,22,1,1.14
130,Khatanga,RU,2021-01-20 21:08:30,71.9667,102.5,-28.39,85,100,6.67
131,Prieska,ZA,2021-01-20 21:08:30,-29.6641,22.7474,87.49,19,0,4.72
132,Onega,RU,2021-01-20 21:08:30,63.9061,38.1404,3.51,94,100,3.2
133,Coquimbo,CL,2021-01-20 21:04:52,-29.9533,-71.3436,66.2,68,20,11.5
134,Hilo,US,2021-01-20 21:05:22,19.7297,-155.09,71.6,83,90,9.22
135,Inta,RU,2021-01-20 21:08:31,66.0317,60.1659,-2.78,85,100,14.05
136,Bilibino,RU,2021-01-20 21:08:31,68.0546,166.4372,-27.76,82,100,1.16
137,Manchester,GB,2021-01-20 21:08:31,53.4809,-2.2374,36.0,100,90,8.05
138,Bambanglipuro,ID,2021-01-20 21:08:31,-7.95,110.2833,78.4,83,100,2.59
