City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
98,Sitka,US,2021-01-23 19:39:41,57.0531,-135.33,37.4,93,90,3.44,light rain
99,Clyde River,CA,2021-01-23 19:40:14,70.4692,-68.5914,-7.6,84,75,8.05,mist
100,Severo-Kurilsk,RU,2021-01-23 19:40:14,50.6789,156.125,22.26,95,88,34.27,snow
101,Karacabey,TR,2021-01-23 19:37:09,40.2152,28.4038,46.78,74,100,6.22,overcast clouds
102,Inirida,CO,2021-01-23 19:40:15,3.8653,-67.9239,82.63,74,84,3.62,light rain
103,Dikson,RU,2021-01-23 19:40:15,73.5069,80.5464,-17.86,90,92,5.12,overcast clouds
104,Bima,ID,2021-01-23 19:40:15,-8.4667,118.7167,76.42,84,90,1.05,overcast clouds
105,Muroto,JP,2021-01-23 19:40:15,33.2833,134.15,56.19,85,97,19.04,light rain
106,Niquelandia,BR,2021-01-23 19:40:15,-14.4739,-48.4597,82.92,64,70,4.76,broken clouds
107,Aswan,EG,2021-01-23 19:40:15,24.0934,32.907,60.78,30,0,10.58,clear sky
108,Barbastro,ES,2021-01-23 19:40:16,42.0356,0.1269,44.6,100,75,1.14,light rain
109,Duma,CN,2021-01-23 19:40:16,34.7653,108.135,35.6,69,82,2.24,haze
110,Tilichiki,RU,2021-01-23 19:40:16,60.4667,166.1,-10.52,90,1,7.63,clear sky
111,Vyshkov,RU,2021-01-23 19:40:16,52.4764,31.6873,32.0,93,90,15.66,fog
112,Lutry,CH,2021-01-23 19:40:16,46.5024,6.6865,41.0,76,100,7.0,overcast clouds
113,San Jeronimo,PE,2021-01-23 19:40:16,-11.9472,-75.2829,60.06,56,100,7.0,light rain
114,Sinnamary,GF,2021-01-23 19:39:55,5.3833,-52.95,78.64,88,100,12.64,light rain
115,Talnakh,RU,2021-01-23 19:38:58,69.4865,88.3972,-35.59,65,57,0.47,broken clouds
116,Asau,RO,2021-01-23 19:40:16,46.4333,26.4,39.99,60,93,4.12,overcast clouds
117,Souillac,MU,2021-01-23 19:40:17,-20.5167,57.5167,78.8,83,40,5.75,scattered clouds
118,Oruro,BO,2021-01-23 19:40:17,-17.9833,-67.15,58.05,45,71,9.95,light rain
119,Puerto Ayora,EC,2021-01-23 19:39:18,-0.7393,-90.3518,84.2,65,40,13.8,scattered clouds
120,Hilo,US,2021-01-23 19:36:24,19.7297,-155.09,75.2,69,90,4.21,light rain
121,Abha,SA,2021-01-23 19:40:17,18.2164,42.5053,57.2,67,14,3.42,few clouds
122,El Alto,PE,2021-01-23 19:40:18,-4.2714,-81.2147,87.8,48,0,10.36,clear sky
123,Mataura,NZ,2021-01-23 19:40:18,-46.1927,168.8643,53.01,88,96,5.01,overcast clouds
124,Lahij,YE,2021-01-23 19:40:18,13.1667,44.5833,69.3,69,51,6.51,broken clouds
125,Balaipungut,ID,2021-01-23 19:40:18,1.05,101.2833,73.27,95,75,1.54,broken clouds
126,Barrow,US,2021-01-23 19:39:15,71.2906,-156.7887,6.8,78,90,23.02,snow
127,Plettenberg Bay,ZA,2021-01-23 19:40:19,-34.0527,23.3716,68.59,72,38,7.92,scattered clouds
128,Robertsport,LR,2021-01-23 19:40:19,6.7533,-11.3686,80.51,81,3,10.38,clear sky
129,Jamestown,US,2021-01-23 19:40:19,42.097,-79.2353,21.99,73,90,17.27,light snow
130,Ahipara,NZ,2021-01-23 19:40:19,-35.1667,173.1667,66.47,71,34,8.77,scattered clouds
131,Comodoro Rivadavia,AR,2021-01-23 19:39:10,-45.8667,-67.5,68.0,42,0,12.66,clear sky
132,Betare Oya,CM,2021-01-23 19:40:19,5.6,14.0833,73.0,26,63,3.33,broken clouds
133,Urcos,PE,2021-01-23 19:40:19,-13.6861,-71.6228,66.2,39,40,4.61,moderate rain
134,Lebu,CL,2021-01-23 19:40:20,-37.6167,-73.65,65.3,76,10,17.78,clear sky
135,Antofagasta,CL,2021-01-23 19:38:52,-23.65,-70.4,73.99,68,0,13.8,clear sky
136,Tashla,RU,2021-01-23 19:40:20,51.7716,52.7427,20.16,97,100,10.36,light snow
137,San Patricio,US,2021-01-23 19:39:16,28.017,-97.5169,69.8,94,90,14.97,overcast clouds
138,Lagoa,PT,2021-01-23 19:39:19,39.05,-27.9833,62.29,83,100,13.78,overcast clouds
139,Faanui,PF,2021-01-23 19:39:41,-16.4833,-151.75,81.23,70,5,14.32,clear sky
140,Vaini,TO,2021-01-23 19:40:21,-21.2,-175.2,78.8,94,75,4.61,moderate rain
141,Peniche,PT,2021-01-23 19:40:21,39.3558,-9.3811,59.0,90,100,20.0,overcast clouds
142,Sao Filipe,CV,2021-01-23 19:40:21,14.8961,-24.4956,75.47,62,0,11.92,clear sky
143,Kaitangata,NZ,2021-01-23 19:40:21,-46.2817,169.8464,60.01,50,100,5.01,overcast clouds
144,Iranshahr,IR,2021-01-23 19:40:22,27.2025,60.6848,41.0,15,0,4.61,clear sky
145,Trairi,BR,2021-01-23 19:40:22,-3.2778,-39.2689,82.92,69,99,12.97,overcast clouds
146,Jaisalmer,IN,2021-01-23 19:40:22,26.9147,70.9181,51.24,36,0,5.5,clear sky
147,Amapa,BR,2021-01-23 19:40:22,1.0,-52.0,78.64,93,100,4.45,overcast clouds
148,Hamilton,US,2021-01-23 19:37:09,39.1834,-84.5333,32.0,47,1,3.65,clear sky
149,New Castle,US,2021-01-23 19:38:03,41.0037,-80.347,25.0,68,90,8.05,overcast clouds
150,Ulladulla,AU,2021-01-23 19:40:23,-35.35,150.4667,69.8,100,3,4.61,clear sky
151,Cherskiy,RU,2021-01-23 19:40:23,68.75,161.3,-24.47,86,100,4.43,overcast clouds
152,Makaha,US,2021-01-23 19:40:23,21.4694,-158.2175,75.2,73,20,9.22,few clouds
153,Hasaki,JP,2021-01-23 19:40:23,35.7333,140.8333,39.2,100,75,19.57,light rain
154,Mahebourg,MU,2021-01-23 19:40:23,-20.4081,57.7,78.8,83,40,5.75,scattered clouds
155,Kirensk,RU,2021-01-23 19:40:24,57.7853,108.1119,-18.85,86,100,1.1,overcast clouds
156,Calvinia,ZA,2021-01-23 19:40:24,-31.4707,19.776,68.38,35,2,7.4,clear sky
157,Tigre,AR,2021-01-23 19:40:24,-34.426,-58.5796,93.0,46,0,8.05,clear sky
158,Vangaindrano,MG,2021-01-23 19:40:25,-23.35,47.6,77.36,88,13,1.95,light rain
159,Boguchany,RU,2021-01-23 19:40:25,58.3814,97.4531,-9.94,88,100,3.15,overcast clouds
